PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,PEOPLE_DEATH_NEW_COUNT,COUNTRY_SHORT_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
36829,6/10/20,35,Egypt,1385,1306
739503,6/10/20,1272,Brazil,32091,38406
108317,6/9/20,105,Pakistan,4646,2172
35444,6/9/20,34,Egypt,1365,1271
32033,6/9/20,32,Indonesia,847,1883
707412,6/9/20,679,Brazil,15654,37134
1857,6/9/20,0,Sri Lanka,22,11
266598,6/9/20,331,India,9987,7466
68504,6/9/20,42,Bangladesh,2735,930
103671,6/8/20,65,Pakistan,4728,2067
65769,6/8/20,42,Bangladesh,2743,888
691758,6/8/20,525,Brazil,18921,36455
1835,6/8/20,0,Sri Lanka,21,11
256611,6/8/20,206,India,9983,7135
34079,6/8/20,39,Egypt,1467,1237
31186,6/8/20,50,Indonesia,672,1851
672837,6/7/20,904,Brazil,27075,35930
63026,6/7/20,35,Bangladesh,2635,846
1814,6/7/20,0,Sri Lanka,13,11
246628,6/7/20,287,India,9971,6929
30514,6/7/20,31,Indonesia,993,1801
32612,6/7/20,32,Egypt,1497,1198
98943,6/7/20,67,Pakistan,4960,2002
1801,6/6/20,0,Sri Lanka,4,11
29521,6/6/20,49,Indonesia,703,1770
236657,6/6/20,294,India,9887,6642
93983,6/6/20,97,Pakistan,4734,1935
31115,6/6/20,40,Egypt,1348,1166
645762,6/6/20,1005,Brazil,30830,35026
60391,6/6/20,30,Bangladesh,2828,811
57563,6/5/20,35,Bangladesh,2423,781
28818,6/5/20,23,Indonesia,585,1721
226770,6/5/20,273,India,9851,6348
614932,6/5/20,1473,Brazil,30916,34021
1797,6/5/20,0,Sri Lanka,48,11
89249,6/5/20,68,Pakistan,3985,1838
29767,6/5/20,38,Egypt,1152,1126
85264,6/4/20,82,Pakistan,4801,1770
28233,6/4/20,35,Indonesia,684,1698
55140,6/4/20,37,Bangladesh,2695,746
28615,6/4/20,36,Egypt,1079,1088
216919,6/4/20,260,India,9304,6075
584016,6/4/20,1349,Brazil,28633,32548
1749,6/4/20,0,Sri Lanka,66,11
1683,6/3/20,0,Sri Lanka,40,11
555383,6/3/20,1262,Brazil,28936,31199
27549,6/3/20,22,Indonesia,609,1663
80463,6/3/20,67,Pakistan,4065,1688
52445,6/3/20,37,Bangladesh,2911,709
207615,6/3/20,217,India,8909,5815
27536,6/3/20,47,Egypt,1152,1052
76398,6/2/20,78,Pakistan,3938,1621
526447,6/2/20,623,Brazil,11598,29937
26940,6/2/20,28,Indonesia,467,1641
198706,6/2/20,204,India,8171,5598
1643,6/2/20,1,Sri Lanka,10,11
26384,6/2/20,46,Egypt,1399,1005
49534,6/2/20,22,Bangladesh,2381,672
24985,6/1/20,46,Egypt,1536,959
1633,6/1/20,0,Sri Lanka,13,10
72460,6/1/20,60,Pakistan,2964,1543
47153,6/1/20,40,Bangladesh,2545,650
26473,6/1/20,40,Indonesia,700,1613
190535,6/1/20,230,India,8392,5394
514849,6/1/20,480,Brazil,16409,29314
498440,5/31/20,956,Brazil,33274,28834
23449,5/31/20,34,Egypt,1367,913
44608,5/31/20,28,Bangladesh,1764,610
182143,5/31/20,193,India,8380,5164
1620,5/31/20,0,Sri Lanka,62,10
25773,5/31/20,53,Indonesia,557,1573
69496,5/31/20,88,Pakistan,3039,1483
22082,5/30/20,34,Egypt,1289,879
42844,5/30/20,23,Bangladesh,2523,582
25216,5/30/20,24,Indonesia,678,1520
66457,5/30/20,78,Pakistan,2429,1395
173763,5/30/20,265,India,7964,4971
465166,5/30/20,1124,Brazil,26928,27878
1558,5/30/20,0,Sri Lanka,28,10
64028,5/29/20,57,Pakistan,2801,1317
1530,5/29/20,0,Sri Lanka,61,10
24538,5/29/20,23,Indonesia,687,1496
438238,5/29/20,1156,Brazil,26417,26754
165799,5/29/20,175,India,7466,4706
20793,5/29/20,29,Egypt,1127,845
40321,5/29/20,15,Bangladesh,2029,559
1469,5/28/20,0,Sri Lanka,150,10
61227,5/28/20,35,Pakistan,2076,1260
19666,5/28/20,19,Egypt,910,816
23851,5/28/20,55,Indonesia,686,1473
38292,5/28/20,22,Bangladesh,1541,544
158333,5/28/20,194,India,6566,4531
411821,5/28/20,1086,Brazil,20599,25598
36751,5/27/20,21,Bangladesh,1166,522
18756,5/27/20,14,Egypt,789,797
151767,5/27/20,170,India,6387,4337
391222,5/27/20,1039,Brazil,16324,24512
1319,5/27/20,0,Sri Lanka,137,10
23165,5/27/20,27,Indonesia,415,1418
59151,5/27/20,28,Pakistan,1446,1225
22750,5/26/20,19,Indonesia,479,1391
374898,5/26/20,807,Brazil,11687,23473
17967,5/26/20,19,Egypt,702,783
145380,5/26/20,146,India,6535,4167
57705,5/26/20,30,Pakistan,1356,1197
1182,5/26/20,1,Sri Lanka,41,10
35585,5/26/20,21,Bangladesh,1975,501
